Unnamed: 0,Total Confirmed,ARIMA,LSTM,GRU,prophet,Hybrid ARIMA+ANN,Proposed Model
9/12/22,44502363,44931044.1018386,46226256.0,45171556.0,46883295.0,43022256.7268386,43022288.23555006
9/13/22,44510057,44951638.0377723,46228452.0,45173256.0,46954084.0,43042850.6627723,43042882.17148376
9/14/22,44516479,44972233.46343953,46237924.0,45180572.0,47038242.0,43063446.08843953,43063477.59715098
9/15/22,44522777,44992830.29074502,46245836.0,45186684.0,47117127.0,43084042.91574502,43084074.42445648
9/16/22,44528524,45013428.43617507,46253600.0,45192680.0,47195716.0,43104641.06117507,43104672.56988652
9/17/22,44534188,45034027.82166631,46260684.0,45198148.0,47274245.0,43125240.44666631,43125271.95537776
9/18/22,44539046,45054628.37342003,46267664.0,45203540.0,47352207.0,43145840.99842003,43145872.50713149
9/19/22,44543089,45075230.02230026,46273650.0,45208160.0,47423277.0,43166442.64730026,43166474.15601172
9/20/22,44545011,45095832.70306476,46278624.0,45212004.0,47500439.0,43187045.32806476,43187076.83677621
9/21/22,44553042,45116436.35450563,46280988.0,45213830.0,47590706.0,43207648.97950563,43207680.488217086
9/22/22,44558425,45137040.91892877,46290892.0,45221470.0,47675184.0,43228253.54392877,43228285.05264023
9/23/22,44563337,45157646.342157535,46297524.0,45226590.0,47758600.0,43248858.967157535,43248890.475868985
9/24/22,44568114,45178252.57316343,46303580.0,45231264.0,47840950.0,43269465.19816343,43269496.70687488
9/25/22,44572243,45198859.56400035,46309468.0,45235810.0,47921507.0,43290072.18900035,43290103.69771181
9/26/22,44575473,45219467.26953001,46314556.0,45239736.0,47993753.0,43310679.89453001,43310711.40324147
9/27/22,44579088,45240075.647324346,46318532.0,45242810.0,48070513.0,43331288.272324346,43331319.7810358
9/28/22,44583360,45260684.65745232,46322988.0,45246244.0,48158684.0,43351897.28245232,43351928.79116377
9/29/22,44587307,45281294.262371145,46328252.0,45250310.0,48239300.0,43372506.887371145,43372538.3960826
9/30/22,44591112,45301904.426754594,46333124.0,45254068.0,48317068.0,43393117.051754594,43393148.56046605
10/1/22,44594487,45322515.117383935,46337812.0,45257684.0,48392018.0,43413727.742383935,43413759.25109538
10/2/22,44597498,45343126.30300576,46341976.0,45260892.0,48463508.0,43434338.928005755,43434370.43671721
10/3/22,44599466,45363737.95422811,46345690.0,45263756.0,48525156.0,43454950.57922811,43454982.08793956
10/4/22,44601892,45384350.043400265,46348104.0,45265628.0,48589976.0,43475562.668400265,43475594.17711172
10/5/22,44604463,45404962.54451663,46351100.0,45267936.0,48665094.0,43496175.16951663,43496206.67822808
10/6/22,44606460,45425575.433113545,46354276.0,45270384.0,48731815.0,43516788.058113545,43516819.566825
10/7/22,44609257,45446188.68618188,46356740.0,45272280.0,48795146.0,43537401.31118188,43537432.81989333
10/8/22,44612013,45466802.28207749,46360180.0,45274936.0,48855441.0,43558014.90707749,43558046.41578895
10/9/22,44614437,45487416.20044259,46363580.0,45277556.0,48912392.0,43578628.82544259,43578660.33415404
10/10/22,44616394,45508030.42212751,46366572.0,45279864.0,48959959.0,43599243.04712751,43599274.55583896
10/11/22,44616235,45528644.92912034,46368980.0,45281724.0,49011484.0,43619857.55412034,43619889.06283179
10/12/22,44621319,45549259.704478346,46368784.0,45281580.0,49074409.0,43640472.329478346,43640503.8381898
10/13/22,44623997,45569874.732265234,46375056.0,45286412.0,49130326.0,43661087.357265234,43661118.86597669
10/14/22,44626427,45590489.997490816,46378350.0,45288956.0,49184489.0,43681702.622490816,43681734.131202266
10/15/22,44628828,45611105.48605526,46381350.0,45291268.0,49237455.0,43702318.11105526,43702349.61976671
10/16/22,44630888,45631721.18469589,46384310.0,45293548.0,49289070.0,43722933.80969589,43722965.31840734
10/17/22,44632430,45652337.08093772,46386856.0,45295516.0,49333385.0,43743549.70593772,43743581.21464917
10/18/22,44634376,45672953.16304648,46388760.0,45296976.0,49383775.0,43764165.78804648,43764197.29675794
10/19/22,44636517,45693569.41998479,46391160.0,45298824.0,49447648.0,43784782.04498479,43784813.553696245
10/20/22,44638636,45714185.84137066,46393796.0,45300864.0,49506500.0,43805398.46637066,43805429.975082114
10/21/22,44640748,45734802.41743865,46396404.0,45302880.0,49565430.0,43826015.04243865,43826046.5511501
10/22/22,44642742,45755419.1390032,46399010.0,45304890.0,49624777.0,43846631.7640032,43846663.27271466
10/23/22,44644076,45776035.99742426,46401476.0,45306784.0,49684118.0,43867248.62242426,43867280.13113572
10/24/22,44644938,45796652.9845748,46403120.0,45308056.0,49737193.0,43887865.609574795,43887897.11828625
10/25/22,44645768,45817270.09281043,46404176.0,45308868.0,49797028.0,43908482.71781043,43908514.22652188
10/26/22,44646880,45837887.31494071,46405204.0,45309660.0,49870659.0,43929099.93994071,43929131.44865216
10/27/22,44649088,45858504.64420221,46406576.0,45310716.0,49939193.0,43949717.26920221,43949748.77791366
10/28/22,44650662,45879122.074233085,46409296.0,45312820.0,50007339.0,43970334.699233085,43970366.20794454
10/29/22,44652256,45899739.59904933,46411236.0,45314316.0,50075056.0,43990952.22404933,43990983.73276079
10/30/22,44653592,45920357.21302226,46413210.0,45315830.0,50141565.0,44011569.83802226,44011601.34673372
10/31/22,44654638,45940974.910857454,46414856.0,45317096.0,50200280.0,44032187.535857454,44032219.04456891
11/1/22,44655828,45961592.68757488,46416140.0,45318092.0,50263950.0,44052805.31257488,44052836.821286336
11/2/22,44655926,45982210.53849024,46417616.0,45319228.0,50339382.0,44073423.16349024,44073454.67220169
11/3/22,44658365,46002828.459197424,46417736.0,45319320.0,50407521.0,44094041.084197424,44094072.59290888
11/4/22,44659447,46023446.445551954,46420744.0,45321636.0,50472981.0,44114659.070551954,44114690.57926341
11/5/22,44660579,46044064.493655466,46422076.0,45322668.0,50535700.0,44135277.118655466,44135308.62736692
11/6/22,44661504,46064682.599841096,46423464.0,45323740.0,50594948.0,44155895.224841096,44155926.73355255
11/7/22,44660293,46085300.760659724,46424612.0,45324624.0,50644269.0,44176513.385659724,44176544.89437118
11/8/22,44660293,46105918.97286706,46423124.0,45323470.0,50696608.0,44197131.597867064,44197163.106578514
11/9/22,44660293,46126537.23341148,46423124.0,45323470.0,50759041.0,44217749.85841148,44217781.36712293
11/10/22,44664810,46147155.53942256,46423124.0,45323470.0,50812837.0,44238368.16442256,44238399.673134014
11/11/22,44665643,46167773.88820032,46428690.0,45327764.0,50862988.0,44258986.51320032,44259018.02191177
11/12/22,44666372,46188392.277205154,46429716.0,45328560.0,50909849.0,44279604.902205154,44279636.41091661
11/13/22,44666924,46209010.70404823,46430616.0,45329252.0,50953138.0,44300223.32904823,44300254.83775969
11/14/22,44667390,46229629.16648259,46431300.0,45329772.0,50986855.0,44320841.79148259,44320873.30019404
11/15/22,44667900,46250247.662394695,46431870.0,45330224.0,51024408.0,44341460.287394695,44341491.79610615
11/16/22,44668535,46270866.18979652,46432500.0,45330700.0,51073315.0,44362078.81479652,44362110.32350798
11/17/22,44667967,46291484.74681812,46433284.0,45331310.0,51115266.0,44382697.37181812,44382728.88052957
11/18/22,44669748,46312103.33170056,46432584.0,45330770.0,51155623.0,44403315.956700556,44403347.465412006
11/19/22,44670240,46332721.94278935,46434780.0,45332460.0,51195057.0,44423934.56778935,44423966.0765008
11/20/22,44670646,46353340.5785283,46435390.0,45332932.0,51233537.0,44444553.2035283,44444584.71223976
11/21/22,44670940,46373959.23745358,46435890.0,45333316.0,51265234.0,44465171.86245358,44465203.37116504
11/22/22,44671300,46394577.91818831,46436252.0,45333596.0,51303641.0,44485790.54318831,44485822.05189976
11/23/22,44671708,46415196.619437374,46436692.0,45333932.0,51356271.0,44506409.244437374,44506440.75314882
11/24/22,44672048,46435815.33998257,46437196.0,45334324.0,51404713.0,44527027.96498257,44527059.47369403
